Latitude,Longitude,sqm_value2,C1,C2,profile
29.872435959343097,-82.54461518741614,16,0,0.03,profile_1
29.872082430848547,-82.54440061069495,16,0,0.03,profile_1
29.871970790011016,-82.54425040699012,16,0,0.03,profile_1
29.871914969545397,-82.54405728794104,16,0,0.03,profile_1
29.871840542209306,-82.54373542285926,16,0,0.03,profile_1
29.871821935366608,-82.54362813449866,16,0,0.03,profile_1
29.871840542209306,-82.543327727089,16,0,0.03,profile_1
29.872008003637404,-82.54307023502356,16,0,0.03,profile_1
29.872175464784377,-82.5427698276139,16,0,0.03,profile_1
29.87305783465413,-82.54240553056975,16,0,0.03,profile_1
29.87339275314205,-82.54246990358611,16,0,0.03,profile_1
29.877690773915948,-82.5432423797824,16,0,0.03,profile_1
29.87726284075622,-82.54322092211028,16,0,0.03,profile_1
29.876983752923667,-82.54317800676604,16,0,0.03,profile_1
29.87670466431012,-82.54311363374968,16,0,0.03,profile_1
29.876593028646035,-82.54311363374968,16,0,0.03,profile_1
29.876295332930884,-82.54302780306121,16,0,0.03,profile_1
29.875885999871674,-82.54300634538909,16,0,0.03,profile_1
29.87551387745096,-82.54287759935637,16,0,0.03,profile_1
29.875137887659974,-82.54283468401213,16,0,0.03,profile_1
29.874765762448074,-82.54272739565154,16,0,0.03,profile_1
29.87461691197458,-82.54270593797942,16,0,0.03,profile_1
29.874244784818984,-82.5426844803073,16,0,0.03,profile_1
29.873891262735217,-82.5426844803073,16,0,0.03,profile_1
29.873500526342777,-82.54259864961882,16,0,0.03,profile_1
29.873053968591464,-82.54255573427459,16,0,0.03,profile_1
29.872570195438218,-82.54238407289763,16,0,0.03,profile_1
29.8720492063416,-82.54227678453704,16,0,0.03,profile_1
29.871714283342623,-82.54225532686492,16,0,0.03,profile_1
29.871323538422562,-82.5422338691928,16,0,0.03,profile_1
29.87185325168899,-82.54507131014563,16,0,0.03,profile_1
29.871871858525846,-82.54474944506384,16,0,0.03,profile_1
29.871834644848665,-82.54438466463782,16,0,0.03,profile_1
29.871760217452646,-82.54429883394934,16,0,0.03,profile_1
29.871611362494022,-82.54397696886755,16,0,0.03,profile_1
29.871574148719667,-82.54369801913,16,0,0.03,profile_1
29.87124777778568,-82.54303283129431,16,0,0.03,profile_1
29.871564095460144,-82.54354781542517,16,0,0.03,profile_1
29.871396633286835,-82.54329032335974,16,0,0.03,profile_1
29.87126638473547,-82.54301137362219,16,0,0.03,profile_1
29.871080315081358,-82.54271096621252,16,0,0.03,profile_1
29.87083842401216,-82.54251784716345,16,0,0.03,profile_1
29.870561430714943,-82.54219598208167,16,0,0.03,profile_1
29.870300931261166,-82.54215306673743,16,0,0.03,profile_1
29.869527085053388,-82.54189998920867,16,0,0.03,profile_1
29.870048087322115,-82.5420501929135,16,0,0.03,profile_1
29.870699336331725,-82.54207165058563,16,0,0.03,profile_1
29.87140640187129,-82.54207165058563,16,0,0.03,profile_1
29.869527085053388,-82.54153520878265,16,0,0.03,profile_1
29.870420230133906,-82.54172832783172,16,0,0.03,profile_1
29.870952643541646,-82.54177124317596,16,0,0.03,profile_1
29.87126896215195,-82.54182488735626,16,0,0.03,profile_1
29.871538762526967,-82.5418678027005,16,0,0.03,profile_1
29.87188298953221,-82.54194290455291,16,0,0.03,profile_1
29.872134181462044,-82.54202873524139,16,0,0.03,profile_1
29.87239467612858,-82.5420501929135,16,0,0.03,profile_1
29.872673776802127,-82.54212529476592,16,0,0.03,profile_1
29.872878450133076,-82.54213602360198,16,0,0.03,profile_1
29.873365261364896,-82.54220762012166,16,0,0.03,profile_1
29.87364435932274,-82.54223980662984,16,0,0.03,profile_1
29.873951366174385,-82.54232563731831,16,0,0.03,profile_1
29.874211856095357,-82.54236855266255,16,0,0.03,profile_1
29.874481648510628,-82.54239001033467,16,0,0.03,profile_1
29.874742137046727,-82.54241146800679,16,0,0.03,profile_1
29.875011928027664,-82.54249729869527,16,0,0.03,profile_1
29.87798554093333,-82.54301228282613,16,0,0.03,profile_1
29.877799483813337,-82.542990825154,16,0,0.03,profile_1
29.877555712081264,-82.54288353679341,16,0,0.03,profile_1
29.877281425556784,-82.54287280795735,16,0,0.03,profile_1
29.877058155394824,-82.54286207912129,16,0,0.03,profile_1
29.876844187687254,-82.54282989261311,16,0,0.03,profile_1
29.876723249214695,-82.54282989261311,16,0,0.03,profile_1
29.876583704641064,-82.54278697726888,16,0,0.03,profile_1
29.87642555388824,-82.54273333308858,16,0,0.03,profile_1
29.87621158482349,-82.54266896007222,16,0,0.03,profile_1
29.876031459568644,-82.54267968890828,16,0,0.03,profile_1
29.875780277453273,-82.54263677356404,16,0,0.03,profile_1
29.87565003462589,-82.54262604472798,16,0,0.03,profile_1
29.875510488550685,-82.54256167171162,16,0,0.03,profile_1
29.875628161710637,-82.54246511218709,16,0,0.03,profile_1
29.875730495397477,-82.54235782382649,16,0,0.03,profile_1
29.876028192798564,-82.54227199313802,16,0,0.03,profile_1
29.876358091962132,-82.54195590517189,16,0,0.03,profile_1
29.876386000955613,-82.54173059961464,16,0,0.03,profile_1
29.876395303951707,-82.54156966707374,16,0,0.03,profile_1
29.876395303951707,-82.54135509035255,16,0,0.03,profile_1
29.876386000955613,-82.54111905595924,16,0,0.03,profile_1
29.876153425771317,-82.5408030755361,16,0,0.03,profile_1
29.876268772456335,-82.54095173035537,16,0,0.03,profile_1
29.876092015157962,-82.54068350945388,16,0,0.03,profile_1
29.875924560586345,-82.54061913643753,16,0,0.03,profile_1
29.875775711842206,-82.54060840760147,16,0,0.03,profile_1
29.87741551815808,-82.54264688645279,16,0,0.03,profile_1
29.87729458037833,-82.54251814042007,16,0,0.03,profile_1
29.877192248296307,-82.5424323097316,16,0,0.03,profile_1
29.877108521969284,-82.54236793671524,16,0,0.03,profile_1
29.877015492634598,-82.54226064835464,16,0,0.03,profile_1
29.87692246321313,-82.54212117348587,16,0,0.03,profile_1
29.87684803961349,-82.54194951210891,16,0,0.03,profile_1
29.876801524835493,-82.54170274887954,16,0,0.03,profile_1
29.876689889279824,-82.54152035866653,16,0,0.03,profile_1
29.876455086948702,-82.54105881458962,16,0,0.03,profile_1
29.87641631253027,-82.54071008903861,16,0,0.03,profile_1
29.876323282549908,-82.540420410465,16,0,0.03,profile_1
29.876286070533464,-82.54008781654716,16,0,0.03,profile_1
29.87629537353887,-82.53974449379325,16,0,0.03,profile_1
29.876351191553127,-82.5395728324163,16,0,0.03,profile_1
29.805747057236637,-82.51364818563438,16,0,0.03,profile_1
29.805002288190344,-82.51386276235557,16,0,0.03,profile_1
29.804406468960533,-82.51407733907676,16,0,0.03,profile_1
29.803959602209076,-82.51454940786338,16,0,0.03,profile_1
29.803512733461268,-82.51510730733848,16,0,0.03,profile_1
29.80287966598456,-82.51549354543663,16,0,0.03,profile_1
29.802432792412315,-82.51549354543663,16,0,0.03,profile_1
29.802172115239948,-82.51510730733848,16,0,0.03,profile_1
29.802842426596445,-82.51493564596153,16,0,0.03,profile_1
29.803103102022057,-82.51489273061729,16,0,0.03,profile_1
29.802916905358796,-82.51420608510948,16,0,0.03,profile_1
29.802470031952915,-82.514120254421,16,0,0.03,profile_1
29.805802914691547,-82.51349798192955,16,0,0.03,profile_1
29.80528157723258,-82.51370978964599,16,0,0.03,profile_1
29.804816095062282,-82.51362395895751,16,0,0.03,profile_1
29.80451818533647,-82.5137312473181,16,0,0.03,profile_1
29.804201655280597,-82.5137312473181,16,0,0.03,profile_1
29.803866504717913,-82.51370978964599,16,0,0.03,profile_1
29.803549972599836,-82.51370978964599,16,0,0.03,profile_1
29.80328929833874,-82.51390290869506,16,0,0.03,profile_1
29.802749328065534,-82.51403165472777,16,0,0.03,profile_1
29.80233969350017,-82.51396728171142,16,0,0.03,profile_1
29.80204177639903,-82.51390290869506,16,0,0.03,profile_1
29.801967296985115,-82.51358104361327,16,0,0.03,profile_1
29.80237693307542,-82.51358104361327,16,0,0.03,profile_1
29.80280518719448,-82.51351667059691,16,0,0.03,profile_1
29.803214819853658,-82.51343083990844,16,0,0.03,profile_1
29.8036430703856,-82.51343083990844,16,0,0.03,profile_1
29.804164416384644,-82.51332355154784,16,0,0.03,profile_1
29.8046112822211,-82.51332355154784,16,0,0.03,profile_1
29.804983668893136,-82.5132806362036,16,0,0.03,profile_1
29.80557948468473,-82.51330209387572,16,0,0.03,profile_1
29.80638010656574,-82.51319480551513,16,0,0.03,profile_1
29.80597048686913,-82.51302314413817,16,0,0.03,profile_1
29.805876874099173,-82.5130446018103,16,0,0.03,profile_1
29.805560348342915,-82.51302314413817,16,0,0.03,profile_1
29.805206583077023,-82.51306605948241,16,0,0.03,profile_1
29.804871435881484,-82.51302314413817,16,0,0.03,profile_1
29.804536287562982,-82.51308751715453,16,0,0.03,profile_1
29.804219757564393,-82.51298022879394,16,0,0.03,profile_1
29.803772484395356,-82.51280833371403,16,0,0.03,profile_1
29.80354904985302,-82.51263667233708,16,0,0.03,profile_1
29.80338147361876,-82.51248646863225,16,0,0.03,profile_1
29.803009080981955,-82.51237918027165,16,0,0.03,profile_1
29.802673926423527,-82.51222897656682,16,0,0.03,profile_1
29.802320150949182,-82.51212168820622,16,0,0.03,profile_1
29.80207136060207,-82.51214314587834,16,0,0.03,profile_1
29.801736202901893,-82.5119929421735,16,0,0.03,profile_1
29.801531383754554,-82.51173545010808,16,0,0.03,profile_1
29.802741672633704,-82.5131087411237,16,0,0.03,profile_1
29.802778912059324,-82.51278687604191,16,0,0.03,profile_1
29.80279753176693,-82.51267958768132,16,0,0.03,profile_1
29.80270443319423,-82.51244355328801,16,0,0.03,profile_1
29.80251823578889,-82.51240063794377,16,0,0.03,profile_1
29.802294798445025,-82.51237918027165,16,0,0.03,profile_1
29.801996881210187,-82.51240063794377,16,0,0.03,profile_1
29.801624483418962,-82.51248646863225,16,0,0.03,profile_1
29.80215509668378,-82.51527596600774,16,0,0.03,profile_1
29.80178269948155,-82.51506138928654,16,0,0.03,profile_1
29.801652360133254,-82.51469660886052,16,0,0.03,profile_1
29.801061177456607,-82.51437474377873,16,0,0.03,profile_1
29.80150805715605,-82.51461077817204,16,0,0.03,profile_1
29.800858503074057,-82.51454640515568,16,0,0.03,profile_1
29.80139848355358,-82.51368809827092,16,0,0.03,profile_1
29.801044703568646,-82.51398850568059,16,0,0.03,profile_1
29.801044703568646,-82.51433182843449,16,0,0.03,profile_1
29.800839883005526,-82.51392413266423,16,0,0.03,profile_1
29.80078402277917,-82.51437474377873,16,0,0.03,profile_1
29.800393000321336,-82.51392413266423,16,0,0.03,profile_1
29.8003185196799,-82.51441765912297,16,0,0.03,profile_1
29.799983356107223,-82.5140099633527,16,0,0.03,profile_1
29.79985011094222,-82.51441765912297,16,0,0.03,profile_1
29.79945908483414,-82.51441765912297,16,0,0.03,profile_1
29.79908667759605,-82.51441765912297,16,0,0.03,profile_1
29.799682528511614,-82.5140099633527,16,0,0.03,profile_1
29.79929150174854,-82.51403142102482,16,0,0.03,profile_1
29.79897495515431,-82.51398850568059,16,0,0.03,profile_1
29.79149285391797,-82.51538325436833,16,0,0.03,profile_1
29.791027307592124,-82.51551200040105,16,0,0.03,profile_1
