Latitude,Longitude,sqm_value2,C1,C2,profile
29.884025466246925,-81.3319090486328,16,0.9,0.03,original
29.889466092008217,-81.33239095524846,16,0.9,0.03,original
29.889776768094297,-81.33241092008403,16,0.9,0.03,original
29.89021835898196,-81.33285733840472,16,0.9,0.03,original
29.887846820150372,-81.33224989146828,16,0.9,0.03,original
29.88861112868383,-81.3323029163595,16,0.9,0.03,original
29.88501791104881,-81.33200069077006,16,0.9,0.03,original
29.88593064407072,-81.33207944839201,16,0.9,0.03,original
29.88698356747621,-81.33217760583598,16,0.9,0.03,original
29.88369283924436,-81.33187008103651,16,0.9,0.03,original
29.884025466246925,-81.3319090486328,16,0.9,0.03,original
29.89027145595242,-81.3325198551769,16,0.9,0.03,original
29.889660274054368,-81.33928675552023,16,0.9,0.03,original
29.88796970687595,-81.33149610454731,16,0.9,0.03,original
29.884100907639255,-81.33143281749473,16,0.9,0.03,original
29.886949534588414,-81.33149588490161,16,0.9,0.03,original
29.89032843716158,-81.33173111943701,16,0.9,0.03,original
29.885027786301848,-81.33135383930802,16,0.9,0.03,original
29.88596204222793,-81.33162199596202,16,0.9,0.03,original
29.888704053690574,-81.33143542127235,16,0.9,0.03,original
29.88939438033228,-81.33138405857291,16,0.9,0.03,original
29.90290207073587,-81.33436392146649,16,0.9,0.03,original
29.903787157936012,-81.33449943421306,16,0.9,0.03,original
29.90199229137226,-81.33420623631159,16,0.9,0.03,original
29.901129473396693,-81.33396349769411,16,0.9,0.03,original
29.900400858126623,-81.3339326636669,16,0.9,0.03,original
29.899348377550698,-81.33366089558925,16,0.9,0.03,original
29.896880062558967,-81.33326765186193,16,0.9,0.03,original
29.898157814990288,-81.33144145493362,16,0.9,0.03,original
29.897525698979564,-81.33349071505204,16,0.9,0.03,original
29.90377065034429,-81.33341682896223,16,0.9,0.03,original
29.90439182520002,-81.33352620627728,16,0.9,0.03,original
29.895733657656773,-81.33316600539158,16,0.9,0.03,original
29.90215169429324,-81.33315264035541,16,0.9,0.03,original
29.894870581890256,-81.33302427754184,16,0.9,0.03,original
29.90126114569174,-81.33300134348345,16,0.9,0.03,original
29.900538252705246,-81.33288216684277,16,0.9,0.03,original
29.892232024127082,-81.332532674362,16,0.9,0.03,original
29.893543050115568,-81.33278002311093,16,0.9,0.03,original
29.893961118048374,-81.33274038642988,16,0.9,0.03,original
29.899460799199126,-81.33269869410168,16,0.9,0.03,original
29.90312915026842,-81.33264460382118,16,0.9,0.03,original
29.890788157725986,-81.33262255303416,16,0.9,0.03,original
29.892122185633205,-81.33028225566072,16,0.9,0.03,original
29.893120007855334,-81.33261136098882,16,0.9,0.03,original
29.898757154057982,-81.33257958583752,16,0.9,0.03,original
29.897762097303737,-81.33243426447497,16,0.9,0.03,original
29.8967671038059,-81.33226369909079,16,0.9,0.03,original
29.90229178485968,-81.33212106947535,16,0.9,0.03,original
29.90317684280504,-81.33226918585099,16,0.9,0.03,original
29.89585723347435,-81.3321407575333,16,0.9,0.03,original
29.90138197874035,-81.33197287375242,16,0.9,0.03,original
29.894977761194184,-81.3319579579805,16,0.9,0.03,original
29.900331989929633,-81.33180212420258,16,0.9,0.03,original
29.891214116224372,-81.33163306892575,16,0.9,0.03,original
29.89198187224432,-81.33140839642483,16,0.9,0.03,original
29.893391788973098,-81.33169708258829,16,0.9,0.03,original
29.89405969655386,-81.33181290369404,16,0.9,0.03,original
29.899595362733006,-81.33167659991453,16,0.9,0.03,original
29.89260325855327,-81.3325275951452,16,0.9,0.03,original
29.898770766654202,-81.33154131840203,16,0.9,0.03,original
29.897896690405705,-81.33139956357824,16,0.9,0.03,original
29.891257256298402,-81.33087899253674,16,0.9,0.03,original
29.896135112903497,-81.33098662601458,16,0.9,0.03,original
29.894422537955855,-81.32967129797198,16,0.9,0.03,original
29.904721708531227,-81.33464773936024,16,0.9,0.03,original
29.90486466445127,-81.33357512371194,16,0.9,0.03,original
29.90315770069064,-81.33331694873281,16,0.9,0.03,original
