(28.612713, -80.984275), 
(28.61246, -80.983963), 
(28.61225, -80.983769), 
(28.612051, -80.983669), 
(28.611634, -80.983588), 
(28.611469, -80.983588), 
(28.611232, -80.983613), 
(28.610846, -80.983719), 
(28.610467, -80.98375), 
(28.610237, -80.983693), 
(28.610115, -80.983632), 
(28.609912, -80.983444), 
(28.609829, -80.983326), 
(28.609747, -80.983045), 
(28.609768, -80.982864), 
(28.609808, -80.982771), 
(28.609878, -80.982702), 
(28.60995, -80.982671), 
(28.610309, -80.982578), 
(28.610639, -80.982422), 
(28.610848, -80.982222), 
(28.610903, -80.982142), 
(28.610946, -80.981998), 
(28.610948, -80.981792), 
(28.610799, -80.981555), 
(28.610688, -80.981443), 
(28.610061, -80.980938), 
(28.609885, -80.980763), 
(28.609433, -80.980127), 
(28.609302, -80.979846), 
(28.609165, -80.979459), 
(28.609065, -80.979272), 
(28.608993, -80.979004), 
(28.608973, -80.978749), 
(28.609027, -80.9782), 
(28.609038, -80.977913), 
(28.608973, -80.977539), 
(28.608889, -80.977252), 
(28.608792, -80.977027), 
(28.608636, -80.976822), 
(28.608356, -80.976528), 
(28.608264, -80.976391), 
(28.608153, -80.976167), 
(28.608081, -80.975936), 
(28.608054, -80.975593), 
(28.608061, -80.975475), 
(28.608121, -80.97525), 
(28.608169, -80.9751), 
(28.608286, -80.974901), 
(28.608406, -80.974745), 
(28.608543, -80.974652), 
(28.608819, -80.974558), 
(28.609326, -80.974434), 
(28.609701, -80.974247), 
(28.610091, -80.973985), 
(28.61031, -80.973854), 
(28.61047, -80.973786), 
(28.610922, -80.973455), 
(28.61117, -80.973312), 
(28.61135, -80.973131), 
(28.611522, -80.972894), 
(28.611583, -80.972739), 
(28.611598, -80.972632), 
(28.611587, -80.972271), 
(28.611456, -80.97179), 
(28.611131, -80.971049), 
(28.611066, -80.970955), 
(28.610835, -80.970749), 
(28.610653, -80.970662), 
(28.610339, -80.970606), 
(28.610124, -80.970624), 
(28.60959, -80.970748), 
(28.609359, -80.97078), 
(28.609267, -80.970755), 
(28.608885, -80.97048), 
(28.608666, -80.970113), 
(28.608348, -80.969302), 
(28.608215, -80.969084), 
(28.60805, -80.968984), 
(28.607958, -80.968965), 
(28.607847, -80.968971), 
(28.607655, -80.969046), 
(28.607511, -80.969146), 
(28.607297, -80.969257), 
(28.607136, -80.96932), 
(28.60701, -80.969326), 
(28.606818, -80.969195), 
(28.606685, -80.968946), 
(28.606532, -80.968871), 
(28.606252, -80.96884), 
(28.605811, -80.968721), 
(28.605636, -80.968597), 
(28.605579, -80.968509), 
(28.605529, -80.968334), 
(28.605547, -80.967861), 
(28.605531, -80.967711), 
(28.605437, -80.967486), 
(28.605321, -80.96733), 
(28.60526, -80.967206), 
(28.605206, -80.966981), 
(28.605199, -80.966819), 
(28.605249, -80.966582), 
(28.605244, -80.966258), 
(28.605172, -80.966065), 
(28.604919, -80.965684), 
(28.604816, -80.965416), 
(28.604739, -80.964992), 
(28.604743, -80.964818), 
(28.604777, -80.964618), 
(28.605048, -80.964157), 
(28.605206, -80.963919), 
(28.605266, -80.963795), 
(28.605316, -80.96362), 
(28.605327, -80.963247), 
(28.605311, -80.963047), 
(28.605334, -80.962099), 
(28.605306, -80.961239), 
(28.605272, -80.961083), 
(28.605268, -80.960951), 
(28.605207, -80.960715), 
(28.605153, -80.960577), 
(28.605087, -80.960472), 
(28.604988, -80.960366), 
(28.604877, -80.960303), 
(28.604426, -80.960116), 
(28.603474, -80.959923), 
(28.603237, -80.959792), 
(28.602914, -80.959548), 
(28.602639, -80.959199), 
(28.602544, -80.959037), 
(28.602367, -80.958532), 
(28.60216, -80.958033), 
(28.602026, -80.957528), 
(28.601999, -80.957253), 
(28.602071, -80.956917), 
(28.602247, -80.956667), 
(28.602335, -80.956605), 
(28.602732, -80.956531), 
(28.602969, -80.956531), 
(28.603459, -80.956637), 
(28.603644, -80.956656), 
(28.603761, -80.956643), 
(28.603942, -80.956544), 
(28.604075, -80.956387), 
